Position,Away Team,Percentage
1,Geelong,135.7
2,Brisbane Lions,118.3
3,Richmond,113.7
4,Collingwood,117.7
5,West Coast,112.5
6,Greater Western Sydney,115.4
7,Western Bulldogs,107.2
8,Essendon,95.4
9,Hawthorn,108.7
10,Port Adelaide,105.4
11,Adelaide,100.9
12,North Melbourne,99.5
13,Fremantle,91.9
14,St Kilda,83.9
15,Sydney,97.7
16,Carlton,84.5
17,Melbourne,78.6
18,Gold Coast,60.5
