Position,Away Team,Percentage
1,Port Adelaide,136.4
2,Brisbane Lions,124.9
3,Richmond,129.9
4,Geelong,136.8
5,West Coast,117
6,St Kilda,116.2
7,Western Bulldogs,106.7
8,Collingwood,109.5
9,Melbourne,107.8
10,Greater Western Sydney,95.6
11,Carlton,94.3
12,Fremantle,93.7
13,Essendon,79.2
14,Gold Coast,90.6
15,Hawthorn,84.1
16,Sydney,82.6
17,North Melbourne,71.2
18,Adelaide,64.4
